event_id,user_id,event_name,timestamp
1,158,profile_complete,2025-12-28 16:56:51.416276
2,180,job_apply,2026-01-01 16:56:51.416276
3,966,job_view,2025-11-24 16:56:51.416276
4,942,comment,2025-12-14 16:56:51.416276
5,339,signup,2025-12-13 16:56:51.416276
6,529,profile_complete,2025-11-01 16:56:51.416276
7,363,job_apply,2025-11-05 16:56:51.416276
8,486,signup,2025-12-03 16:56:51.416276
9,819,post,2025-11-08 16:56:51.416276
10,83,post,2026-01-20 16:56:51.416276
11,475,post,2025-12-08 16:56:51.416276
12,901,profile_complete,2026-01-11 16:56:51.416276
13,920,job_apply,2026-01-26 16:56:51.416276
14,383,connect_people,2026-01-19 16:56:51.416276
15,276,comment,2025-11-06 16:56:51.416276
16,96,profile_complete,2025-12-15 16:56:51.416276
17,805,profile_complete,2025-12-28 16:56:51.416276
18,190,post,2025-11-06 16:56:51.416276
19,940,profile_complete,2026-01-16 16:56:51.416276
20,30,connect_people,2025-12-03 16:56:51.416276
21,846,job_view,2025-11-03 16:56:51.416276
22,323,comment,2025-12-12 16:56:51.416276
23,425,comment,2025-11-01 16:56:51.416276
24,739,job_view,2026-01-17 16:56:51.416276
25,436,signup,2026-01-25 16:56:51.416276
26,9,post,2025-12-06 16:56:51.416276
27,172,job_apply,2025-12-01 16:56:51.416276
28,95,job_apply,2025-12-29 16:56:51.416276
29,76,connect_people,2025-12-28 16:56:51.416276
30,917,job_view,2025-11-29 16:56:51.416276
31,113,comment,2025-11-21 16:56:51.416276
32,720,connect_people,2026-01-16 16:56:51.416276
33,757,profile_complete,2025-11-15 16:56:51.416276
34,433,profile_complete,2025-11-09 16:56:51.416276
35,612,post,2025-11-09 16:56:51.416276
36,132,job_view,2026-01-18 16:56:51.416276
37,99,job_view,2025-11-05 16:56:51.416276
38,803,post,2025-11-27 16:56:51.416276
39,481,connect_people,2026-01-01 16:56:51.416276
40,539,profile_complete,2025-12-25 16:56:51.416276
41,554,connect_people,2025-11-10 16:56:51.416276
42,461,job_view,2025-11-05 16:56:51.416276
43,440,comment,2025-11-03 16:56:51.416276
44,820,job_apply,2025-11-20 16:56:51.416276
45,233,job_apply,2025-12-12 16:56:51.416276
46,656,comment,2026-01-26 16:56:51.416276
47,493,connect_people,2026-01-02 16:56:51.416276
48,766,signup,2026-01-28 16:56:51.416276
49,601,job_view,2025-11-26 16:56:51.416276
50,496,post,2025-10-31 16:56:51.416276
51,616,post,2025-11-29 16:56:51.416276
52,236,connect_people,2025-11-17 16:56:51.416276
53,875,comment,2026-01-05 16:56:51.416276
54,287,comment,2025-11-03 16:56:51.416276
55,211,connect_people,2025-11-15 16:56:51.416276
56,412,profile_complete,2026-01-21 16:56:51.416276
57,873,profile_complete,2025-11-25 16:56:51.416276
58,929,signup,2025-12-25 16:56:51.416276
59,676,post,2025-12-05 16:56:51.416276
60,750,comment,2025-12-11 16:56:51.416276
61,429,job_view,2025-12-23 16:56:51.416276
62,186,connect_people,2025-12-31 16:56:51.416276
63,196,profile_complete,2025-11-19 16:56:51.416276
64,190,signup,2025-11-23 16:56:51.416276
65,452,post,2025-11-28 16:56:51.416276
66,484,comment,2026-01-04 16:56:51.416276
67,479,post,2025-12-29 16:56:51.416276
68,840,job_apply,2025-11-29 16:56:51.416276
69,55,post,2025-11-11 16:56:51.416276
70,466,job_apply,2025-11-20 16:56:51.416276
71,338,comment,2026-01-14 16:56:51.416276
72,467,job_apply,2025-11-13 16:56:51.416276
73,856,job_view,2025-12-19 16:56:51.416276
74,559,profile_complete,2025-11-25 16:56:51.416276
75,397,signup,2025-11-03 16:56:51.416276
76,370,job_view,2025-12-30 16:56:51.416276
77,891,comment,2025-11-01 16:56:51.416276
78,422,job_apply,2026-01-14 16:56:51.416276
79,469,job_apply,2025-12-14 16:56:51.428474
80,943,signup,2026-01-26 16:56:51.428474
81,625,job_view,2025-12-19 16:56:51.428474
82,214,comment,2026-01-07 16:56:51.428474
83,529,post,2025-12-10 16:56:51.428474
84,409,job_view,2026-01-22 16:56:51.428474
85,786,post,2025-12-13 16:56:51.428474
86,806,signup,2025-11-28 16:56:51.428474
87,844,job_view,2026-01-21 16:56:51.428474
88,24,signup,2025-11-12 16:56:51.428474
89,326,profile_complete,2026-01-25 16:56:51.428474
90,946,connect_people,2025-12-11 16:56:51.428474
91,852,job_view,2025-11-14 16:56:51.428474
92,778,signup,2025-12-29 16:56:51.428474
93,21,connect_people,2025-11-11 16:56:51.428474
94,479,post,2026-01-07 16:56:51.428474
95,11,comment,2025-12-25 16:56:51.428474
96,988,profile_complete,2025-11-30 16:56:51.428474
97,533,connect_people,2025-12-22 16:56:51.428474
98,282,job_apply,2026-01-03 16:56:51.428474
99,727,comment,2026-01-14 16:56:51.428474
100,81,connect_people,2026-01-24 16:56:51.428474
101,435,comment,2025-12-06 16:56:51.428474
102,585,post,2025-12-29 16:56:51.428474
103,804,job_view,2026-01-28 16:56:51.428474
104,34,signup,2025-12-09 16:56:51.428474
105,251,signup,2026-01-15 16:56:51.428474
106,645,signup,2025-12-07 16:56:51.428474
107,992,job_apply,2025-12-24 16:56:51.428474
108,683,profile_complete,2025-10-30 16:56:51.428474
109,108,signup,2025-11-05 16:56:51.428474
110,72,post,2025-11-21 16:56:51.428474
111,106,signup,2026-01-18 16:56:51.428474
112,22,profile_complete,2025-12-10 16:56:51.428474
113,864,profile_complete,2026-01-22 16:56:51.428474
114,439,job_apply,2025-11-02 16:56:51.428474
115,323,post,2026-01-25 16:56:51.428474
116,37,profile_complete,2025-12-09 16:56:51.428474
117,188,post,2026-01-11 16:56:51.428474
118,806,post,2025-12-27 16:56:51.428474
119,664,connect_people,2025-11-15 16:56:51.428474
120,41,job_view,2025-12-27 16:56:51.428474
121,951,post,2025-12-21 16:56:51.428474
122,950,job_view,2025-12-25 16:56:51.428474
123,76,signup,2026-01-04 16:56:51.428474
124,265,connect_people,2025-11-05 16:56:51.428474
125,676,signup,2026-01-18 16:56:51.428474
126,597,comment,2025-12-22 16:56:51.428474
127,48,job_view,2025-12-22 16:56:51.428474
128,99,signup,2025-12-16 16:56:51.428474
129,395,connect_people,2025-12-08 16:56:51.428474
130,542,signup,2026-01-14 16:56:51.428474
131,566,post,2025-11-02 16:56:51.428474
132,981,job_apply,2025-11-04 16:56:51.428474
133,992,job_apply,2025-11-11 16:56:51.428474
134,160,signup,2025-11-10 16:56:51.428474
135,461,comment,2025-12-09 16:56:51.428474
136,424,profile_complete,2025-11-11 16:56:51.428474
137,323,profile_complete,2025-12-16 16:56:51.428474
138,243,job_view,2025-11-11 16:56:51.428474
139,726,connect_people,2026-01-02 16:56:51.428474
140,662,job_view,2026-01-02 16:56:51.428474
141,114,signup,2025-12-04 16:56:51.428474
142,326,post,2025-11-08 16:56:51.428474
143,738,post,2025-12-15 16:56:51.428474
144,341,post,2026-01-05 16:56:51.428474
145,509,signup,2025-11-11 16:56:51.428474
146,114,signup,2025-11-03 16:56:51.428474
147,318,connect_people,2025-11-24 16:56:51.428474
148,414,profile_complete,2026-01-17 16:56:51.428474
149,273,post,2025-11-10 16:56:51.428474
150,954,job_apply,2026-01-18 16:56:51.428474
151,693,job_apply,2025-11-18 16:56:51.428474
152,874,job_apply,2025-12-10 16:56:51.428474
153,980,comment,2025-11-15 16:56:51.428474
154,339,job_view,2025-12-10 16:56:51.428474
155,55,profile_complete,2025-11-08 16:56:51.428474
156,521,job_apply,2025-11-20 16:56:51.428474
157,585,profile_complete,2025-11-10 16:56:51.428474
158,625,job_apply,2026-01-01 16:56:51.428474
159,404,connect_people,2025-12-03 16:56:51.428474
160,163,job_apply,2025-11-16 16:56:51.428474
161,776,comment,2026-01-18 16:56:51.428474
162,870,connect_people,2026-01-02 16:56:51.428474
163,945,profile_complete,2025-11-27 16:56:51.428474
164,302,job_apply,2026-01-20 16:56:51.428474
165,734,job_apply,2025-12-13 16:56:51.428474
166,940,comment,2026-01-27 16:56:51.428474
167,683,signup,2025-12-05 16:56:51.428474
168,308,job_view,2026-01-07 16:56:51.428474
169,899,post,2025-11-16 16:56:51.428474
170,855,post,2025-11-13 16:56:51.428474
171,427,connect_people,2025-11-17 16:56:51.428474
172,713,job_apply,2025-12-10 16:56:51.428474
173,15,signup,2025-12-05 16:56:51.428474
174,814,signup,2025-12-12 16:56:51.428474
175,947,job_view,2025-12-25 16:56:51.428474
176,732,connect_people,2025-12-31 16:56:51.428474
177,903,job_view,2025-11-15 16:56:51.428474
178,251,comment,2026-01-07 16:56:51.428474
179,353,comment,2025-11-02 16:56:51.428474
180,895,job_view,2025-11-25 16:56:51.428474
181,12,profile_complete,2025-11-06 16:56:51.428474
182,42,profile_complete,2025-11-05 16:56:51.428474
183,862,job_apply,2025-11-04 16:56:51.428474
184,815,connect_people,2026-01-26 16:56:51.428474
185,847,profile_complete,2025-11-10 16:56:51.428474
186,440,profile_complete,2025-12-29 16:56:51.428474
187,302,job_apply,2026-01-14 16:56:51.428474
188,840,profile_complete,2025-11-18 16:56:51.428474
189,917,comment,2025-11-02 16:56:51.428474
190,614,signup,2025-12-07 16:56:51.428474
191,884,post,2025-11-12 16:56:51.428474
192,227,profile_complete,2025-11-10 16:56:51.428474
193,289,job_apply,2025-12-06 16:56:51.428474
194,80,job_view,2025-11-17 16:56:51.428474
195,536,comment,2025-11-20 16:56:51.428474
196,812,job_apply,2025-12-25 16:56:51.428474
197,783,comment,2025-11-20 16:56:51.428474
198,333,connect_people,2025-11-14 16:56:51.428474
199,558,job_view,2025-12-08 16:56:51.428474
200,562,profile_complete,2025-12-15 16:56:51.428474
201,403,post,2025-12-14 16:56:51.428474
202,248,job_apply,2026-01-05 16:56:51.428474
